0:004> bp ntdll!RtlpLowFragHeapAllocFromContext+180 ".printf \"currIDx == 0x%x\\r\\n\", @ax;g"
0:004> g
currIDx == 0x81b
currIDx == 0x81c
currIDx == 0x81d
currIDx == 0x81e
currIDx == 0x81f
currIDx == 0x820
currIDx == 0x821
currIDx == 0x822
currIDx == 0x824
currIDx == 0x825
currIDx == 0x826
currIDx == 0x827
currIDx == 0x828
currIDx == 0x829
currIDx == 0x82a
currIDx == 0x82b
currIDx == 0x82c
currIDx == 0x82d
currIDx == 0x82e
currIDx == 0x82f
currIDx == 0x830
currIDx == 0x831
currIDx == 0x832
currIDx == 0x833
currIDx == 0x834
currIDx == 0x835
currIDx == 0x836
currIDx == 0x837
currIDx == 0x838
currIDx == 0x839
currIDx == 0x83a
currIDx == 0x83b
currIDx == 0x83c
currIDx == 0x83d
currIDx == 0x83e
currIDx == 0x83f
currIDx == 0x840
currIDx == 0x841
currIDx == 0x842
currIDx == 0x843
currIDx == 0x844
currIDx == 0x845
currIDx == 0x846
currIDx == 0x847
currIDx == 0x848
currIDx == 0x849
currIDx == 0x84a
currIDx == 0x84b
currIDx == 0x84c
currIDx == 0x84d
currIDx == 0x84e
currIDx == 0x84f
currIDx == 0x850
currIDx == 0x851
currIDx == 0x852
currIDx == 0x853
currIDx == 0x854
currIDx == 0x855
currIDx == 0x857
currIDx == 0x858
currIDx == 0x859
currIDx == 0x85a
currIDx == 0x85b
currIDx == 0x85c
currIDx == 0x85d
currIDx == 0x85e
currIDx == 0x85f
currIDx == 0x860
currIDx == 0x861
currIDx == 0x862
currIDx == 0x863
currIDx == 0x864
currIDx == 0x865
currIDx == 0x866
currIDx == 0x867
currIDx == 0x868
currIDx == 0x869
currIDx == 0x86a
currIDx == 0x86b
currIDx == 0x86c
currIDx == 0x86d
currIDx == 0x86e
currIDx == 0x86f
currIDx == 0x870
currIDx == 0x871
currIDx == 0x872
currIDx == 0x873
currIDx == 0x874
currIDx == 0x875
currIDx == 0x876
currIDx == 0x877
currIDx == 0x878
currIDx == 0x879
currIDx == 0x87a
currIDx == 0x87b
currIDx == 0x87c
currIDx == 0x87d
currIDx == 0x87e
currIDx == 0x87f
currIDx == 0x880
currIDx == 0x881
currIDx == 0x882
currIDx == 0x883
currIDx == 0x884
currIDx == 0x885
currIDx == 0x886
currIDx == 0x887
currIDx == 0x888
currIDx == 0x88a
currIDx == 0x88b
currIDx == 0x88c
currIDx == 0x88d
currIDx == 0x88e
currIDx == 0x88f
currIDx == 0x890
currIDx == 0x891
currIDx == 0x892
currIDx == 0x893
currIDx == 0x894
currIDx == 0x895
currIDx == 0x896
currIDx == 0x897
currIDx == 0x898
currIDx == 0x899
currIDx == 0x89a
currIDx == 0x89b
currIDx == 0x89c
currIDx == 0x89d
currIDx == 0x89e
currIDx == 0x89f
currIDx == 0x8a0
currIDx == 0x8a1
currIDx == 0x8a2
currIDx == 0x8a3
currIDx == 0x8a4
currIDx == 0x8a5
currIDx == 0x8a6
currIDx == 0x8a7
currIDx == 0x8a8
